"_primaryKey","_firstSeenAt","_lastSeenAt","venueId","name","addressCity","addressFull","addressCountryCode","addressCountry","timezoneOffset"
"4026","2026-04-07 22:05:38.519","2026-04-07 22:05:38.519",4026,"Rocket Arena (formerly Rocket Mortgage FieldHouse)","Cleveland","Cleveland, OH, USA","US","USA",-14400000
"2333","2026-04-07 22:05:38.519","2026-04-07 22:05:38.519",2333,"Capital One Arena","Washington","Washington, DC, USA","US","USA",-14400000
"4728","2026-04-07 22:05:38.515","2026-04-07 22:05:38.515",4728,"Delta Center","Salt Lake City","Salt Lake City, UT, USA","US","USA",-21600000
"2915","2026-04-07 22:05:38.515","2026-04-07 22:05:38.515",2915,"Smoothie King Center","New Orleans","New Orleans, LA, USA","US","USA",-18000000
"1934","2026-04-07 22:05:38.515","2026-04-07 22:05:38.515",1934,"Crypto.com Arena","Los Angeles","Los Angeles, CA, USA","US","USA",-25200000
"3708","2026-04-07 22:05:38.491","2026-04-07 22:05:38.491",3708,"Madison Square Garden","New York","New York, NY, USA","US","USA",-14400000
"4533","2026-04-07 22:05:38.025","2026-04-07 22:05:38.025",4533,"Frost Bank Center (Formerly AT&T Center)","San Antonio","San Antonio, TX, USA","US","USA",-18000000
"8381","2026-04-07 22:05:36.806","2026-04-07 22:05:36.806",8381,"Moda Center - Complex","Portland","Portland, OR, USA","US","USA",-25200000
"23645","2026-04-07 22:05:36.371","2026-04-07 22:05:36.371",23645,"Golden 1 Center","Sacramento","Sacramento, CA, USA","US","USA",-25200000
"70408","2026-04-07 22:05:36.371","2026-04-07 22:05:36.371",70408,"Chase Center","San Francisco","San Francisco, CA, USA","US","USA",-25200000
"4319","2026-04-07 22:05:35.900","2026-04-07 22:05:35.900",4319,"Xfinity Mobile Arena (formerly Wells Fargo Center Philadelphia)","Philadelphia","Philadelphia, PA, USA","US","USA",-14400000
"2447","2026-04-07 22:05:35.728","2026-04-07 22:05:35.728",2447,"Kia Center (Formerly Amway Center)","Orlando","Orlando, FL, USA","US","USA",-14400000
"1694","2026-04-07 22:05:35.429","2026-04-07 22:05:35.429",1694,"Mortgage Matchup Center (formerly PHX Arena)","Phoenix","Phoenix, AZ, USA","US","USA",-25200000
"6656","2026-04-07 22:05:34.563","2026-04-07 22:05:34.563",6656,"TD Garden","Boston","Boston, MA, USA","US","USA",-14400000
"2734","2026-04-07 22:05:34.563","2026-04-07 22:05:34.563",2734,"United Center","Chicago","Chicago, IL, USA","US","USA",-18000000
"2747","2026-04-07 22:05:34.533","2026-04-07 22:05:34.533",2747,"Gainbridge Fieldhouse","Indianapolis","Indianapolis, IN, USA","US","USA",-14400000
"4706","2026-04-07 22:05:34.533","2026-04-07 22:05:34.533",4706,"Toyota Center","Houston","Houston, TX, USA","US","USA",-18000000
"4090","2026-04-07 22:05:34.482","2026-04-07 22:05:34.482",4090,"Paycom Center","Oklahoma City","Oklahoma City, OK, USA","US","USA",-18000000
"6015","2026-04-07 22:05:33.926","2026-04-07 22:05:33.926",6015,"BOK Center","Tulsa","Tulsa, OK, USA","US","USA",-18000000
"2242","2026-04-07 22:05:32.662","2026-04-07 22:05:32.662",2242,"Ball Arena","Denver","Denver, CO, USA","US","USA",-21600000
"150077022","2026-04-07 22:05:32.662","2026-04-07 22:05:32.662",150077022,"Intuit Dome","Inglewood","Inglewood, CA, USA","US","USA",-25200000
"3254","2026-04-07 22:05:32.592","2026-04-07 22:05:32.592",3254,"Target Center","Minneapolis","Minneapolis, MN, USA","US","USA",-18000000
"2366","2026-04-07 22:05:31.949","2026-04-07 22:05:31.949",2366,"Kaseya Center","Miami","Miami, FL, USA","US","USA",-14400000
"37407","2026-04-07 22:05:30.974","2026-04-07 22:05:30.974",37407,"Fiserv Forum","Milwaukee","Milwaukee, WI, USA","US","USA",-18000000
"26803","2026-04-07 22:05:30.974","2026-04-07 22:05:30.974",26803,"Little Caesars Arena","Detroit","Detroit, MI, USA","US","USA",-14400000
"17278","2026-04-07 22:05:30.974","2026-04-07 22:05:30.974",17278,"Barclays Center","Brooklyn","Brooklyn, NY, USA","US","USA",-14400000
"6911","2026-04-07 22:05:25.545","2026-04-07 22:05:25.545",6911,"Spectrum Center","Charlotte","Charlotte, NC, USA","US","USA",-14400000
"4577","2026-04-07 22:05:25.458","2026-04-07 22:05:25.458",4577,"American Airlines Center","Dallas","Dallas, TX, USA","US","USA",-18000000
"2578","2026-04-07 22:05:23.309","2026-04-07 22:05:23.309",2578,"State Farm Arena","Atlanta","Atlanta, GA, USA","US","USA",-14400000
"23463","2026-04-07 22:05:20.490","2026-04-07 22:05:20.490",23463,"T-Mobile Arena","Las Vegas","Las Vegas, NV, USA","US","USA",-25200000
"9243","2026-04-07 22:05:20.490","2026-04-07 22:05:20.490",9243,"AT&T Stadium","Arlington","Arlington, TX, USA","US","USA",-21600000
"94210","2026-04-07 22:05:20.103","2026-04-07 22:05:20.103",94210,"Climate Pledge Arena","Seattle","Seattle, WA, USA","US","USA",-25200000
"4063","2026-04-07 22:05:20.069","2026-04-07 22:05:20.069",4063,"Nationwide Arena","Columbus","Columbus, OH, USA","US","USA",-14400000
"10974","2026-04-07 22:05:20.069","2026-04-07 22:05:20.069",10974,"PPG Paints Arena","Pittsburgh","Pittsburgh, PA, USA","US","USA",-14400000
"3356","2026-04-07 22:05:20.010","2026-04-07 22:05:20.010",3356,"Enterprise Center","St. Louis","St. Louis, MO, USA","US","USA",-18000000
"2513","2026-04-07 22:05:19.189","2026-04-07 22:05:19.189",2513,"Benchmark International Arena (Formerly Amalie Arena)","Tampa","Tampa, FL, USA","US","USA",-14400000
"92856","2026-04-07 22:05:17.307","2026-04-07 22:05:17.307",92856,"UBS Arena","Elmont","Elmont, NY, USA","US","USA",-14400000
"1848","2026-04-07 22:05:17.282","2026-04-07 22:05:17.282",1848,"Honda Center","Anaheim","Anaheim, CA, USA","US","USA",-25200000
"2039","2026-04-07 22:05:17.282","2026-04-07 22:05:17.282",2039,"SAP Center","San Jose","San Jose, CA, USA","US","USA",-25200000
"4523","2026-04-07 22:05:15.589","2026-04-07 22:05:15.589",4523,"Bridgestone Arena","Nashville","Nashville, TN, USA","US","USA",-18000000
"3263","2026-04-07 22:05:14.530","2026-04-07 22:05:14.530",3263,"Grand Casino Arena (formerly Xcel Energy Center)","Saint Paul","Saint Paul, MN, USA","US","USA",-18000000
"3750","2026-04-07 22:05:12.522","2026-04-07 22:05:12.522",3750,"Prudential Center","Newark","Newark, NJ, USA","US","USA",-14400000
"6983","2026-04-07 22:05:10.826","2026-04-07 22:05:10.826",6983,"Amerant Bank Arena (Formerly FLA Live Arena)","Sunrise","Sunrise, FL, USA","US","USA",-14400000
"3573","2026-04-07 22:05:05.581","2026-04-07 22:05:05.581",3573,"KeyBank Center","Buffalo","Buffalo, NY, USA","US","USA",-14400000
"18429","2026-04-07 22:05:05.115","2026-04-07 22:05:05.115",18429,"Lenovo Center (formerly PNC Arena)","Raleigh","Raleigh, NC, USA","US","USA",-14400000
"4750","2026-04-07 22:05:04.680","2026-04-07 22:05:04.680",4750,"Rice Eccles Stadium","Salt Lake City","Salt Lake City, UT, USA","US","USA",-25200000
"4509","2026-04-07 22:05:01.931","2026-04-07 22:05:01.931",4509,"Nissan Stadium","Nashville","Nashville, TN, USA","US","USA",-21600000
"3130","2026-04-07 22:05:01.931","2026-04-07 22:05:01.931",3130,"Ford Field","Detroit","Detroit, MI, USA","US","USA",-18000000
"86298","2026-04-07 22:05:01.931","2026-04-07 22:05:01.931",86298,"Allegiant Stadium","Las Vegas","Las Vegas, NV, USA","US","USA",-28800000
"12236","2026-04-07 22:05:01.931","2026-04-07 22:05:01.931",12236,"MetLife Stadium","East Rutherford","East Rutherford, NJ, USA","US","USA",-18000000
"24207","2026-04-07 22:05:01.076","2026-04-07 22:05:01.076",24207,"US Bank Stadium","Minneapolis","Minneapolis, MN, USA","US","USA",-21600000
